id,dienbienca,nhanvien
072868c2,cc019363,3a829c22
bfac0aeb,cc019363,eda5cc45
702ce411,663a43ac,2
6e02a3f2,663a43ac,1e6859b8
93122879,cc019363,fe36ca73
f5b45293,ca3981b9,2
78e4826c,ca3981b9,d8a65191
d73c3e24,cc019363,21512d39
bd6ac2e9,2e172638,2a776990
426370f6,9b62d5fd,a6e2979c
0fcbc52e,5a2b4c0c,a782b548
81da5e63,3e05b957,a6e2979c
3ba2ac00,c3af83da,d6f9d4c3
5ec98145,192c642c,d8a65191
a3566a7c,192c642c,1b836613
009c6d96,9b7cdbc7,a6e2979c
d545e2eb,aeb7a48a,a782b548
e72d22fd,08af99bc,2
970acd36,acc74be5,a782b548
2ae5b649,e037a645,bc812b63
528ac648,ad18f6af,4613f12e
63c465c3,ad18f6af,a6e2979c
35b2447c,ad18f6af,2
e2919216,ad18f6af,1e6859b8
9a1471af,c29bc609,1e6859b8
b6e0ea0d,2089d866,21827101
c6bf34cb,2089d866,1b836613
62e61baa,6d1813e5,ce1e9417
fa2939c1,6d1813e5,1b836613
83ad56da,de58188c,a6e2979c
